"jobid","education","programming languages","databases","platforms","misc tools","web frameworks","environments","workflow management","testing software","visualization software"
3178787367,unknown,r jupyter java scala python,mysql sql oracle cassandra elasticsearch,aws ibm,hadoop spark,,ipython,,,tableau
2618566009,unknown,ruby css processing javascript html python,postgresql,aws,machine_learning,,,,,
2618879061,unknown,d processing c c++ r python,,linux arduino raspberry,,,,,,
2619100978,unknown,processing,,,,,,,,
2621215401,unknown,processing java python,sql,,machine_learning,,,,,
2621584932,unknown,go processing java groovy scala,,,spark,angular,,,,
2621585459,Bachelors,go d javascript vue r,,azure google_cloud aws,react machine_learning,angular,,,,
2621607896,Bachelors,rich r scala,,docker,spark machine_learning,,,,,
2621608436,unknown,scala processing java,elasticsearch,docker aws,machine_learning,spring,,,,
2621623091,unknown,go scala processing java,mongodb elasticsearch,docker aws,machine_learning,spring,,,,
2621626912,unknown,scala processing java r python,,aws,hadoop spark,,,,,
2622404288,unknown,css javascript,mysql sql,aws,,jquery ruby_on_rails,,,,
2622599416,unknown,text c++ java python,sql,,machine_learning,,,,,
2623210460,Bachelors,,sql,,etl,,,,,
2626512363,unknown,d c c++ java shell tsql python,sql,linux,,,,,,
2849388141,Bachelors,go,sql,,,,,,,tableau
3178860156,unknown,processing,,,,,,,,
2626660121,unknown,text c++ java,sql mongodb,linux,react,jquery,,,jenkins,
2627039927,unknown,scala java processing,,,,,,,,
2627984176,unknown,r julia python,sql,,bi,,,,,
2627989575,unknown,,,,bi,,,,,
2627990810,unknown,c go scala,,,,,,,,
2631457695,unknown,d java perl shell r,oracle,azure aws,,,,,,
2652710345,unknown,java css,cassandra,,spark,,,,,
2652713391,unknown,css livescript javascript java html,sql,,react,jquery angular,,,,
2653672614,unknown,rich javascript,,aws,react hadoop spark,,,,,
2653676117,unknown,c++,,linux,,,,,,
2655264567,Masters,c++,,linux,,,,,,
2655538385,unknown,c clojure python,elasticsearch,docker aws,machine_learning,,,,,
2655923042,Bachelors,ruby css javascript html python,,,react,,,,,
2667631248,unknown,c c++ cuda,,,machine_learning,,,,,
2662230521,unknown,javascript coffeescript,,,react,ruby_on_rails express,,,,
2662740034,Bachelors,rich,,,,,,,,
2664856326,unknown,go c c++ javascript java vue python,,linux,,,,,,
2665377285,unknown,,,aws,,,,,,
2665390433,unknown,,,aws,,,,,,
2666446941,unknown,,,,,,,,,salesforce
2668127584,Bachelors,d c++ java r,,linux,,,,,,
2674484263,unknown,r scala python,sql,,,,,,,
2674839037,unknown,processing d c c++ cuda r python,,azure aws,tensorflow machine_learning,,,,,
2675434234,unknown,go d processing java scala clojure python,,aws,spark,,,,,tableau
2676272222,Bachelors,go php javascript html,mysql,,,,zend,,,
2682463037,unknown,,mysql,ibm windows linux,,,,,,
2682605983,unknown,scala python,,aws,etl spark machine_learning,,,,,
2686055594,unknown,rust,,,,,,,,
2789175116,Bachelors,,,,machine_learning,,,,,
2789186601,unknown,reason,,,,,,,,
2686471225,Bachelors,,,windows,bi,,,,,
2686793767,Masters,r python,sql,,bi machine_learning,,,,,
2690362892,Bachelors,ruby d processing javascript python,elasticsearch,,machine_learning,,,,,
2690980918,unknown,java html r matlab python,sql mongodb,,bi etl machine_learning,,,,,
2692427301,unknown,,sql oracle,,,,,,,
